"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"1059341-20","","西佐賀団地(2)","","33.26128","130.27026","1059341-20","","0","1059341","",""
"1059342-20","","鍋島駅北(2)","","33.26051","130.26585","1059342-20","","0","1059342","",""
"1059343-00","","江頭","","33.26268","130.2641","1059343-00","","0","1059343","",""
"1059344-20","","深町(2)","","33.25474","130.26428","1059344-20","","0","1059344","",""
"1059345-20","","扇町北(2)","","33.24553","130.26585","1059345-20","","0","1059345","",""
"1019091-00","","医療センター好生館","","33.241555","130.267985","1019091-00","","0","1019091","",""
"1059345-10","","扇町北(1)","","33.24562","130.26576","1059345-10","","0","1059345","",""
"1059344-10","","深町(1)","","33.25499","130.26419","1059344-10","","0","1059344","",""
"1059342-10","","鍋島駅北(1)","","33.2606","130.26619","1059342-10","","0","1059342","",""
"1059341-10","","西佐賀団地(1)","","33.26141","130.27049","1059341-10","","0","1059341","",""
"1059340-10","","八戸溝二丁目(1)","","33.26178","130.27405","1059340-10","","0","1059340","",""
"1059339-10","","八戸溝一丁目(1)","","33.26164","130.27522","1059339-10","","0","1059339","",""
"1059338-10","","新栄団地(1)","","33.25946","130.27722","1059338-10","","0","1059338","",""
"1024168-03","","どんどんどんの森東(3)","","33.26151","130.2939","1024168-03","","0","1024168","",""
"1024169-10","","駅南本町西(1)","","33.26164","130.29707","1024169-10","","0","1024169","",""
"1024156-20","","博物館前(2)","","33.24509","130.3015","1024156-20","","0","1024156","",""
"1024157-20","","赤松小学校前(2)","","33.24311","130.30197","1024157-20","","0","1024157","",""
"1024158-20","","中の館(2)","","33.24207","130.30209","1024158-20","","0","1024158","",""
"1024159-20","","鬼丸(2)","","33.24008","130.30219","1024159-20","","0","1024159","",""
"1025170-20","","袋入口(2)","","33.23743","130.30188","1025170-20","","0","1025170","",""
"1025171-00","","末次","","33.2343","130.30161","1025171-00","","0","1025171","",""
"1025172-20","","末次南(2)","","33.23069","130.30188","1025172-20","","0","1025172","",""
"1025173-00","","満穴","","33.2275","130.30203","1025173-00","","0","1025173","",""
"1025174-00","","中島","","33.22463","130.30246","1025174-00","","0","1025174","",""
"1025175-00","","立野北","","33.22261","130.30214","1025175-00","","0","1025175","",""
"1025176-00","","立野","","33.22041","130.30194","1025176-00","","0","1025176","",""
"1025177-00","","西船津","","33.21111","130.30115","1025177-00","","0","1025177","",""
"1025178-00","","佐房","","33.20796","130.29932","1025178-00","","0","1025178","",""
"1025179-00","","新村","","33.20406","130.29813","1025179-00","","0","1025179","",""
"1025180-00","","久町","","33.19907","130.29802","1025180-00","","0","1025180","",""
"1025181-00","","広江","","33.19752","130.29768","1025181-00","","0","1025181","",""
"1025182-20","","小々森(2)","","33.19707","130.30527","1025182-20","","0","1025182","",""
"1025183-00","","南部消防署前","","33.19746","130.31117","1025183-00","","0","1025183","",""
"1025182-10","","小々森(1)","","33.19682","130.30466","1025182-10","","0","1025182","",""
"1025172-10","","末次南(1)","","33.23127","130.30179","1025172-10","","0","1025172","",""
"1025170-10","","袋入口(1)","","33.23769","130.30173","1025170-10","","0","1025170","",""
"1024159-10","","鬼丸(1)","","33.23986","130.30209","1024159-10","","0","1024159","",""
"1024158-10","","中の館(1)","","33.24218","130.302","1024158-10","","0","1024158","",""
"1024157-10","","赤松小学校前(1)","","33.24397","130.3017","1024157-10","","0","1024157","",""
"1024156-10","","博物館前(1)","","33.24504","130.30141","1024156-10","","0","1024156","",""
"1001002-01","","佐賀駅バスセンター(1)","","33.26451","130.29974","1001002-01","","0","1001002","",""
"1011035-20","","市役所南(2)","","33.262594","130.30124","1011035-20","","0","1011035","",""
"1011036-20","","戸上電機前(2)","","33.261911","130.303661","1011036-20","","0","1011036","",""
"1056303-20","","大財五丁目(2)","","33.26181","130.30847","1056303-20","","0","1056303","",""
"1056304-20","","大財六丁目(2)","","33.26247","130.31151","1056304-20","","0","1056304","",""
"1056305-20","","下村河畔(2)","","33.26328","130.31578","1056305-20","","0","1056305","",""
"1056306-20","","佐賀中部病院西(2)","","33.264","130.31702","1056306-20","","0","1056306","",""
"1056307-20","","東中野(2)","","33.26653","130.31575","1056307-20","","0","1056307","",""
